model_name,subgroup_dimension,subgroup_value,n,mae,median_absolute_error,rmse,actual_mean,predicted_mean,actual_sum,predicted_sum,actual_to_expected_ratio,calibration_error_abs
APR_DRG_SEVERITY_MEAN,hospital_key,61,2269,2.903811391794378,1.54320987654321,5.6260823847723564,5.292639929484355,5.760727342343896,12009.0,13071.090339778299,0.9187450845974099,0.08125491540259011
APR_DRG_SEVERITY_MEAN,hospital_key,62,1876,3.8129237783785372,1.8381962864721486,7.997955849093075,6.59275053304904,5.674251856256407,12368.0,10644.896482337019,1.1618713268393086,0.1618713268393086
APR_DRG_SEVERITY_MEAN,hospital_key,63,5812,3.0531604364529876,1.387978142076503,6.636462601366695,5.81675843083276,5.440413302755654,33807.0,31619.682115615862,1.0691758341018835,0.06917583410188355
APR_DRG_SEVERITY_MEAN,hospital_key,64,434,2.0305768925450423,1.2960161371659105,3.0418261441867123,3.251152073732719,4.1880533761870025,1411.0,1817.615165265159,0.7762919384501059,0.2237080615498941
APR_DRG_SEVERITY_MEAN,hospital_key,65,709,2.674640198215457,1.7286476868327405,3.9148437666196787,4.947813822284909,5.713151276302323,3508.0,4050.6242548983473,0.866039350788422,0.13396064921157802
APR_DRG_SEVERITY_MEAN,hospital_key,66,929,2.7706207341864864,1.8888888888888888,4.217880596064549,5.135629709364909,5.813503515117091,4771.0,5400.744765543777,0.883396680850114,0.11660331914988598
APR_DRG_SEVERITY_MEAN,hospital_key,67,2269,2.727166822846724,1.6825396825396823,4.5187270942370255,5.111062141912737,5.529307343539277,11597.0,12545.99836249062,0.9243584818783425,0.07564151812165754
APR_DRG_SEVERITY_MEAN,hospital_key,68,15,4.513742510365256,2.0879446640316206,7.471757647615121,9.266666666666667,8.137946664897736,139.0,122.06919997346606,1.1386983778890511,0.13869837788905115
APR_DRG_SEVERITY_MEAN,hospital_key,69,458,3.383055449383197,1.6774425287356323,6.664170140317162,6.5895196506550215,5.899541806951332,3018.0,2701.99014758371,1.1169544799039648,0.11695447990396479
APR_DRG_SEVERITY_MEAN,hospital_key,70,349,5.943471978222451,2.532051282051282,9.528873906464028,10.212034383954155,7.199348250068564,3564.0,2512.5725392739287,1.418466509639522,0.4184665096395219
APR_DRG_SEVERITY_MEAN,hospital_key,71,414,2.4272768524607224,1.3356785490931835,3.9751035217900124,4.166666666666667,5.133826852997082,1725.0,2125.404317140792,0.8116102833180289,0.18838971668197113
APR_DRG_SEVERITY_MEAN,hospital_key,72,911,3.4529573816765207,2.0589721988205563,6.746250101220418,5.806805708013172,6.210250450355623,5290.0,5657.538160273973,0.9350356727852501,0.06496432721474987
APR_DRG_SEVERITY_MEAN,hospital_key,73,1199,2.8090268456598864,1.4968354430379747,5.6752828717480295,4.841534612176814,5.115733949608279,5805.0,6133.765005580326,0.9464007823447386,0.05359921765526143
APR_DRG_SEVERITY_MEAN,hospital_key,74,1116,3.364005014901212,1.6946049524803928,8.319437124951412,5.671146953405018,5.657435673757466,6329.0,6313.698211913333,1.0024235856027763,0.0024235856027763347
APR_DRG_SEVERITY_MEAN,hospital_key,75,2029,2.962259335239617,1.5329670329670328,5.4046357047421,5.208477082306555,5.886651624913883,10568.0,11944.01614695027,0.8847945171857781,0.11520548281422194
APR_DRG_SEVERITY_MEAN,hospital_key,76,2525,3.8782714444958883,2.2960161371659105,6.842588213169349,6.877227722772277,7.027788949520529,17365.0,17745.167097539335,0.9785763021869739,0.02142369781302611
APR_DRG_SEVERITY_MEAN,hospital_key,77,2418,2.734549554618324,1.2619918837554083,6.081843117094684,5.662944582299421,4.846117527644298,13693.0,11717.91218184391,1.1685528776377374,0.1685528776377374
APR_DRG_SEVERITY_MEAN,hospital_key,78,288,3.6328046469842823,1.9070639122185515,7.736820802075691,5.836805555555555,5.4592661555913455,1681.0,1572.2686528103075,1.0691557050351057,0.06915570503510571
APR_DRG_SEVERITY_MEAN,hospital_key,79,321,5.344616534749219,3.2362204724409445,8.408692477398263,8.361370716510903,7.656835756681887,2684.0,2457.8442778948856,1.0920138530089523,0.09201385300895226
APR_DRG_SEVERITY_MEAN,hospital_key,80,641,2.841071112301003,1.5538243626062322,5.598060642456622,4.6786271450858035,5.049609834342612,2999.0,3236.7999038136145,0.9265324051902506,0.0734675948097494
APR_DRG_SEVERITY_MEAN,hospital_key,81,1305,2.4532159200994954,1.3636363636363633,4.0580771345044075,4.146360153256705,5.057951808892473,5411.0,6600.627110604677,0.8197705929042102,0.18022940709578983
APR_DRG_SEVERITY_MEAN,hospital_key,82,2391,3.0130131774837094,1.6541786743515852,5.3172945413218455,5.849853617733166,5.706789088399781,13987.0,13644.932710363877,1.0250691811309782,0.025069181130978224
APR_DRG_SEVERITY_MEAN,hospital_key,83,228,1.8422917687807692,1.0160089731824207,2.9815969290656317,3.956140350877193,4.348918087107172,902.0,991.5533238604354,0.9096838044858994,0.09031619551410064
APR_DRG_SEVERITY_MEAN,hospital_key,84,322,3.426364624825674,2.159422886510444,4.999933840756322,6.226708074534161,6.922239296972276,2005.0,2228.961053625073,0.8995222221308741,0.10047777786912593
APR_DRG_SEVERITY_MEAN,hospital_key,85,31,3.4099744570987456,2.027379400260756,6.589837549518202,5.032258064516129,5.282088604650157,156.0,163.74474674415487,0.9527023193223063,0.04729768067769369
APR_DRG_SEVERITY_MEAN,hospital_key,86,420,2.2143786423480996,1.422657952069717,3.4130600313378423,3.823809523809524,4.90813960627892,1606.0,2061.418634637146,0.7790751344802365,0.22092486551976354
APR_DRG_SEVERITY_MEAN,hospital_key,87,140,2.999055318736931,2.356663438226785,3.941993316966246,4.3,5.855806195171039,602.0,819.8128673239454,0.7343139196693316,0.26568608033066843
APR_DRG_SEVERITY_MEAN,hospital_key,88,1014,2.8054813527280307,1.4690369957241125,5.468771408511006,5.0788954635108485,5.414418042444043,5150.0,5490.21989503826,0.9380316450811504,0.061968354918849555
APR_DRG_SEVERITY_MEAN,hospital_key,89,375,3.520941654720873,2.351145038167939,5.211969251980286,5.469333333333333,7.38606251851099,2051.0,2769.773444441621,0.7404937772495238,0.2595062227504762
APR_DRG_SEVERITY_MEAN,hospital_key,90,1105,3.806418436129958,2.530343007915567,6.2783416438392035,4.934841628959276,6.922965011496958,5453.0,7649.876337704139,0.7128219802879245,0.28717801971207546
APR_DRG_SEVERITY_MEAN,hospital_key,91,175,10.750467905962633,7.710407239819004,16.823007811237716,18.53142857142857,8.621814493312096,3243.0,1508.8175363296168,2.149365262475007,1.149365262475007
APR_DRG_SEVERITY_MEAN,hospital_key,92,1403,3.078453854656976,1.7369157570668907,5.815302412808061,5.145402708481825,6.0706395181346045,7219.0,8517.10724394285,0.8475882471873263,0.15241175281267372
APR_DRG_SEVERITY_MEAN,hospital_key,93,2125,1.920986857463758,0.9875455650060754,3.7955127501907615,4.313411764705882,4.350649817173893,9166.0,9245.130861494523,0.9914408067684473,0.008559193231552742
